,DATE,HIGHWAY_GALLONS,MF_num,year
0,1960-03-31,14207584000.0,MF-22,1960
1,1960-06-30,16555228000.0,MF-22,1960
2,1960-09-30,17111073000.0,MF-22,1960
3,1960-12-31,15840306000.0,MF-22,1960
4,1961-03-31,14397699000.0,MF-22,1961
5,1961-06-30,16888711000.0,MF-22,1961
6,1961-09-30,17416362000.0,MF-22,1961
7,1961-12-31,16344841000.0,MF-22,1961
8,1962-03-31,15061351000.0,MF-22,1962
9,1962-06-30,17062802000.0,MF-22,1962
10,1962-09-30,17618758000.0,MF-22,1962
11,1962-12-31,16893961000.0,MF-22,1962
12,1963-03-31,15530355000.0,MF-22,1963
13,1963-06-30,17842390000.0,MF-22,1963
14,1963-09-30,18465387000.0,MF-22,1963
15,1963-12-31,17473082000.0,MF-22,1963
16,1964-03-31,16435061000.0,MF-22,1964
17,1964-06-30,18652148000.0,MF-22,1964
18,1964-09-30,19355548000.0,MF-22,1964
19,1964-12-31,18223106000.0,MF-22,1964
20,1965-03-31,16901234000.0,MF-22,1965
21,1965-06-30,19485188000.0,MF-22,1965
22,1965-09-30,20140910000.0,MF-22,1965
23,1965-12-31,19369651000.0,MF-22,1965
24,1966-03-31,17912881000.0,MF-22,1966
25,1966-06-30,20390428000.0,MF-22,1966
26,1966-09-30,21240321000.0,MF-22,1966
27,1966-12-31,20049690000.0,MF-22,1966
28,1967-03-31,18679744000.0,MF-22,1967
29,1967-06-30,21087030000.0,MF-22,1967
30,1967-09-30,21942081000.0,MF-22,1967
31,1967-12-31,20891487000.0,MF-22,1967
32,1968-03-31,20034191000.0,MF-22,1968
33,1968-06-30,22196003000.0,MF-22,1968
34,1968-09-30,23449841000.0,MF-22,1968
35,1968-12-31,22196579000.0,MF-22,1968
36,1969-03-31,20974696000.0,MF-22,1969
37,1969-06-30,23559399000.0,MF-22,1969
38,1969-09-30,24781040000.0,MF-22,1969
39,1969-12-31,23666782000.0,MF-22,1969
40,1970-03-31,22230553000.0,MF-22,1970
41,1970-06-30,24712870000.0,MF-22,1970
42,1970-09-30,25766428000.0,MF-22,1970
43,1970-12-31,24405927000.0,MF-22,1970
44,1971-03-31,23228736000.0,MF-22,1971
45,1971-06-30,26127067000.0,MF-22,1971
46,1971-09-30,27011714000.0,MF-22,1971
47,1971-12-31,25930903000.0,MF-22,1971
48,1972-03-31,25134900000.0,MF-22,1972
49,1972-06-30,28079115000.0,MF-22,1972
50,1972-09-30,28730219000.0,MF-22,1972
51,1972-12-31,27821794000.0,MF-22,1972
52,1973-03-31,26851287000.0,MF-22,1973
53,1973-06-30,29395208000.0,MF-22,1973
