,STATE,DATE,HIGHWAY_GALLONS,State_abb,StateCode,FIPScode,MF_num,year
0,Alabama,1960-03-31,243304000.0,AL,1.0,1.0,MF-22,1960
1,Alabama,1960-06-30,272466000.0,AL,1.0,1.0,MF-22,1960
2,Alabama,1960-09-30,266075000.0,AL,1.0,1.0,MF-22,1960
3,Alabama,1960-12-31,262498000.0,AL,1.0,1.0,MF-22,1960
4,Alabama,1961-03-31,249178000.0,AL,1.0,1.0,MF-22,1961
5,Alabama,1961-06-30,278509000.0,AL,1.0,1.0,MF-22,1961
6,Alabama,1961-09-30,278218000.0,AL,1.0,1.0,MF-22,1961
7,Alabama,1961-12-31,271287000.0,AL,1.0,1.0,MF-22,1961
8,Alabama,1962-03-31,261134000.0,AL,1.0,1.0,MF-22,1962
9,Alabama,1962-06-30,290397000.0,AL,1.0,1.0,MF-22,1962
10,Alabama,1962-09-30,287042000.0,AL,1.0,1.0,MF-22,1962
11,Alabama,1962-12-31,283591000.0,AL,1.0,1.0,MF-22,1962
12,Alabama,1963-03-31,267044000.0,AL,1.0,1.0,MF-22,1963
13,Alabama,1963-06-30,303567000.0,AL,1.0,1.0,MF-22,1963
14,Alabama,1963-09-30,300184000.0,AL,1.0,1.0,MF-22,1963
15,Alabama,1963-12-31,298266000.0,AL,1.0,1.0,MF-22,1963
16,Alabama,1964-03-31,287320000.0,AL,1.0,1.0,MF-22,1964
17,Alabama,1964-06-30,316088000.0,AL,1.0,1.0,MF-22,1964
18,Alabama,1964-09-30,321539000.0,AL,1.0,1.0,MF-22,1964
19,Alabama,1964-12-31,318333000.0,AL,1.0,1.0,MF-22,1964
20,Alabama,1965-03-31,300158000.0,AL,1.0,1.0,MF-22,1965
21,Alabama,1965-06-30,328199000.0,AL,1.0,1.0,MF-22,1965
22,Alabama,1965-09-30,342878000.0,AL,1.0,1.0,MF-22,1965
23,Alabama,1965-12-31,329065000.0,AL,1.0,1.0,MF-22,1965
24,Alabama,1966-03-31,316881000.0,AL,1.0,1.0,MF-22,1966
25,Alabama,1966-06-30,349555000.0,AL,1.0,1.0,MF-22,1966
26,Alabama,1966-09-30,367338000.0,AL,1.0,1.0,MF-22,1966
27,Alabama,1966-12-31,345137000.0,AL,1.0,1.0,MF-22,1966
28,Alabama,1967-03-31,334865000.0,AL,1.0,1.0,MF-22,1967
